ID,frequency,source,destination,start,stop,duration,days,timeSpentInDay
910,Ka Band,Gateway-EOR,LEGS1-WS,27.699850787037036,28.291840231481483,0.5919894444444473,"[27, 28]","[0.30014921296296393, 0.2918402314814834]"
905,Ka Band,Gateway-EOR,LEGS1-WS,22.503582962962966,23.08897326388889,0.5853903009259227,"[22, 23]","[0.496417037037034, 0.08897326388888871]"
909,Ka Band,Gateway-EOR,LEGS1-WS,26.665907546296296,27.250472349537038,0.5845648032407418,"[26, 27]","[0.334092453703704, 0.2504723495370378]"
885,Ka Band,Gateway-EOR,LEGS1-WS,1.8293735185185185,2.4099829050925923,0.5806093865740738,"[1, 2]","[0.17062648148148152, 0.4099829050925923]"
908,Ka Band,Gateway-EOR,LEGS1-WS,25.632060405092588,26.212415983796294,0.5803555787037062,"[25, 26]","[0.367939594907412, 0.21241598379629423]"
907,Ka Band,Gateway-EOR,LEGS1-WS,24.59668940972222,25.174210891203703,0.5775214814814831,"[24, 25]","[0.4033105902777798, 0.17421089120370326]"
906,Ka Band,Gateway-EOR,LEGS1-WS,23.557240011574077,24.133921759259255,0.5766817476851784,"[23, 24]","[0.442759988425923, 0.13392175925925542]"
884,Ka Band,Gateway-EOR,LEGS1-WS,0.794647986111111,1.3712900925925926,0.5766421064814816,"[0, 1]","[0.20535201388888902, 0.3712900925925926]"
886,Ka Band,Gateway-EOR,LEGS1-WS,2.8798373842592593,3.4346872222222227,0.5548498379629634,"[2, 3]","[0.12016261574074072, 0.43468722222222267]"
904,Ka Band,Gateway-EOR,LEGS1-WS,21.496183275462965,22.020126006944448,0.5239427314814833,"[21, 22]","[0.5038167245370353, 0.020126006944447994]"
887,Ka Band,Gateway-EOR,LEGS1-WS,3.925981631944445,4.442609247685185,0.5166276157407403,"[3, 4]","[0.07401836805555506, 0.4426092476851853]"
888,Ka Band,Gateway-EOR,LEGS1-WS,4.962103564814815,5.453359236111111,0.49125567129629566,"[4, 5]","[0.03789643518518471, 0.45335923611111095]"
903,Ka Band,Gateway-EOR,LEGS1-WS,20.484013414351853,20.970983599537036,0.4869701851851822,[20],[0.4869701851851822]
889,Ka Band,Gateway-EOR,LEGS1-WS,5.996026180555556,6.467001712962962,0.4709755324074063,"[5, 6]","[0.003973819444444082, 0.4670017129629622]"
902,Ka Band,Gateway-EOR,LEGS1-WS,19.468196828703704,19.92648678240741,0.45828995370370507,[19],[0.45828995370370507]
890,Ka Band,Gateway-EOR,LEGS1-WS,7.029869074074075,7.484715914351852,0.454846840277777,[7],[0.454846840277777]
892,Ka Band,Gateway-EOR,LEGS1-WS,9.102605902777778,9.551394444444444,0.4487885416666657,[9],[0.4487885416666657]
891,Ka Band,Gateway-EOR,LEGS1-WS,8.064887430555554,8.509182858796295,0.444295428240741,[8],[0.444295428240741]
901,Ka Band,Gateway-EOR,LEGS1-WS,18.44751800925926,18.883017662037037,0.4354996527777786,[18],[0.4354996527777786]
899,Ka Band,Gateway-EOR,LEGS1-WS,16.37532706018518,16.79635709490741,0.42103003472222866,[16],[0.42103003472222866]
900,Ka Band,Gateway-EOR,LEGS1-WS,17.41928763888889,17.839543159722222,0.42025552083333295,[17],[0.42025552083333295]
893,Ka Band,Gateway-EOR,LEGS1-WS,10.161936562500001,10.557792685185184,0.3958561226851831,[10],[0.3958561226851831]
898,Ka Band,Gateway-EOR,LEGS1-WS,15.348902719907409,15.73265513888889,0.38375241898148005,[15],[0.38375241898148005]
894,Ka Band,Gateway-EOR,LEGS1-WS,11.209446921296296,11.572939675925925,0.36349275462962893,[11],[0.36349275462962893]
897,Ka Band,Gateway-EOR,LEGS1-WS,14.326321076388888,14.677280613425927,0.3509595370370384,[14],[0.3509595370370384]
895,Ka Band,Gateway-EOR,LEGS1-WS,12.25418064814815,12.597186030092592,0.3430053819444421,[12],[0.3430053819444421]
883,Ka Band,Gateway-EOR,LEGS1-WS,0.0,0.33863643518518516,0.33863643518518516,[0],[0.33863643518518516]
896,Ka Band,Gateway-EOR,LEGS1-WS,13.294166342592591,13.631934699074074,0.33776835648148307,[13],[0.33776835648148307]
912,Ka Band,Gateway-EOR,LEGS1-WS,29.798411805555556,29.999984791666666,0.20157298611110974,[29],[0.20157298611110974]
231,S Band,CubeSat-1,LCN-12hourfrozen-1,19.034386574074073,19.067719907407408,0.03333333333333499,[19],[0.03333333333333499]
262,S Band,CubeSat-1,LCN-12hourfrozen-2,0.2963310185185185,0.32966435185185183,0.033333333333333326,[0],[0.033333333333333326]
202,S Band,CubeSat-1,LCN-12hourfrozen-1,1.0381250000000002,1.0714583333333334,0.033333333333333215,[1],[0.033333333333333215]
211,S Band,CubeSat-1,LCN-12hourfrozen-1,6.542581018518519,6.575914351851853,0.033333333333333215,[6],[0.033333333333333215]
281,S Band,CubeSat-1,LCN-12hourfrozen-2,12.788136574074075,12.821469907407407,0.03333333333333144,[12],[0.03333333333333144]
290,S Band,CubeSat-1,LCN-12hourfrozen-2,18.292604166666667,18.3259375,0.03333333333333144,[18],[0.03333333333333144]
220,S Band,CubeSat-1,LCN-12hourfrozen-1,12.047037037037036,12.079675925925926,0.032638888888889994,[12],[0.032638888888889994]
273,S Band,CubeSat-1,LCN-12hourfrozen-2,7.284363425925926,7.317002314814815,0.032638888888889106,[7],[0.032638888888889106]
239,S Band,CubeSat-1,LCN-12hourfrozen-1,24.538854166666667,24.571493055555553,0.03263888888888644,[24],[0.03263888888888644]
299,S Band,CubeSat-1,LCN-12hourfrozen-2,23.797060185185188,23.829699074074075,0.03263888888888644,[23],[0.03263888888888644]
271,S Band,CubeSat-1,LCN-12hourfrozen-2,5.801481481481481,5.833425925925926,0.031944444444445,[5],[0.031944444444445]
301,S Band,CubeSat-1,LCN-12hourfrozen-2,25.281307870370373,25.313252314814818,0.031944444444445,[25],[0.031944444444445]
308,S Band,CubeSat-1,LCN-12hourfrozen-2,29.301516203703702,29.333460648148147,0.031944444444445,[29],[0.031944444444445]
229,S Band,CubeSat-1,LCN-12hourfrozen-1,17.551493055555557,17.5834375,0.031944444444441444,[17],[0.031944444444441444]
222,S Band,CubeSat-1,LCN-12hourfrozen-1,13.531284722222223,13.562534722222223,0.03125,[13],[0.03125]
264,S Band,CubeSat-1,LCN-12hourfrozen-2,1.7812731481481483,1.8125231481481483,0.03125,[1],[0.03125]
213,S Band,CubeSat-1,LCN-12hourfrozen-1,8.027476851851853,8.058032407407408,0.030555555555555003,[8],[0.030555555555555003]
237,S Band,CubeSat-1,LCN-12hourfrozen-1,23.056655092592592,23.086516203703706,0.02986111111111356,[23],[0.02986111111111356]
279,S Band,CubeSat-1,LCN-12hourfrozen-2,11.306631944444446,11.336493055555556,0.029861111111110006,[11],[0.029861111111110006]
292,S Band,CubeSat-1,LCN-12hourfrozen-2,19.77818287037037,19.80804398148148,0.029861111111110006,[19],[0.029861111111110006]
216,S Band,CubeSat-1,LCN-12hourfrozen-1,9.947476851851851,9.975949074074075,0.028472222222223564,[9],[0.028472222222223564]
241,S Band,CubeSat-1,LCN-12hourfrozen-1,26.02505787037037,26.053530092592595,0.028472222222223564,[26],[0.028472222222223564]
204,S Band,CubeSat-1,LCN-12hourfrozen-1,2.5243287037037034,2.552800925925926,0.028472222222222676,[2],[0.028472222222222676]
283,S Band,CubeSat-1,LCN-12hourfrozen-2,14.275046296296296,14.303518518518517,0.028472222222221788,[14],[0.028472222222221788]
304,S Band,CubeSat-1,LCN-12hourfrozen-2,27.20127314814815,27.22974537037037,0.02847222222222001,[27],[0.02847222222222001]
225,S Band,CubeSat-1,LCN-12hourfrozen-1,15.45167824074074,15.479456018518519,0.027777777777778567,[15],[0.027777777777778567]
244,S Band,CubeSat-1,LCN-12hourfrozen-1,27.94383101851852,27.971608796296298,0.027777777777778567,[27],[0.027777777777778567]
267,S Band,CubeSat-1,LCN-12hourfrozen-2,3.701388888888889,3.7291666666666665,0.02777777777777768,[3],[0.02777777777777768]
276,S Band,CubeSat-1,LCN-12hourfrozen-2,9.20556712962963,9.233344907407407,0.02777777777777679,[9],[0.02777777777777679]
295,S Band,CubeSat-1,LCN-12hourfrozen-2,21.697766203703704,21.72554398148148,0.027777777777775015,[21],[0.027777777777775015]
207,S Band,CubeSat-1,LCN-12hourfrozen-1,4.443935185185185,4.471018518518519,0.02708333333333357,[4],[0.02708333333333357]
234,S Band,CubeSat-1,LCN-12hourfrozen-1,20.955856481481483,20.982939814814817,0.02708333333333357,[20],[0.02708333333333357]
286,S Band,CubeSat-1,LCN-12hourfrozen-2,16.194224537037037,16.22130787037037,0.02708333333333357,[16],[0.02708333333333357]
233,S Band,CubeSat-1,LCN-12hourfrozen-1,20.521874999999998,20.54826388888889,0.026388888888892126,[20],[0.026388888888892126]
205,S Band,CubeSat-1,LCN-12hourfrozen-1,2.960104166666667,2.9864930555555556,0.026388888888888573,[2],[0.026388888888888573]
208,S Band,CubeSat-1,LCN-12hourfrozen-1,5.062465277777778,5.088854166666667,0.026388888888888573,[5],[0.026388888888888573]
242,S Band,CubeSat-1,LCN-12hourfrozen-1,26.459976851851852,26.48636574074074,0.026388888888888573,[26],[0.026388888888888573]
275,S Band,CubeSat-1,LCN-12hourfrozen-2,8.771863425925927,8.798252314814816,0.026388888888888573,[8],[0.026388888888888573]
284,S Band,CubeSat-1,LCN-12hourfrozen-2,14.709699074074074,14.736087962962962,0.026388888888888573,[14],[0.026388888888888573]
278,S Band,CubeSat-1,LCN-12hourfrozen-2,10.690671296296296,10.716365740740741,0.025694444444445352,[10],[0.025694444444445352]
236,S Band,CubeSat-1,LCN-12hourfrozen-1,22.44096064814815,22.466655092592593,0.025694444444443576,[22],[0.025694444444443576]
245,S Band,CubeSat-1,LCN-12hourfrozen-1,28.563194444444445,28.58888888888889,0.025694444444443576,[28],[0.025694444444443576]
287,S Band,CubeSat-1,LCN-12hourfrozen-2,16.813182870370373,16.838877314814816,0.025694444444443576,[16],[0.025694444444443576]
214,S Band,CubeSat-1,LCN-12hourfrozen-1,8.464166666666666,8.489166666666666,0.025000000000000355,[8],[0.025000000000000355]
293,S Band,CubeSat-1,LCN-12hourfrozen-2,20.21445601851852,20.239456018518517,0.02499999999999858,[20],[0.02499999999999858]
303,S Band,CubeSat-1,LCN-12hourfrozen-2,26.76866898148148,26.793668981481478,0.02499999999999858,[26],[0.02499999999999858]
