ID,frequency,source,destination,start,stop,duration,conflicts,days,timeSpentInDay
735,Ka Band,Sat1,Svalbard,22.363503665663302,22.37750366795808,0.014000002294778824,"[{'Item1': 314, 'Item2': 3}]",[22],[0.014000002294778824]
736,Ka Band,Sat1,Svalbard,22.434003677219152,22.441003678366542,0.007000001147389412,[],[22],[0.007000001147389412]
737,Ka Band,Sat1,Svalbard,22.504503688775003,22.51200369000435,0.0075000012293457985,[],[22],[0.0075000012293457985]
738,Ka Band,Sat1,Svalbard,22.57550370041281,22.583003701642156,0.0075000012293457985,[],[22],[0.0075000012293457985]
746,Ka Band,Sat1,Svalbard,23.157503795810044,23.165503797121346,0.008000001311302185,[],[23],[0.008000001311302185]
747,Ka Band,Sat1,Svalbard,23.229003807529807,23.236503808759153,0.0075000012293457985,[],[23],[0.0075000012293457985]
748,Ka Band,Sat1,Svalbard,23.293003818020225,23.307003820315003,0.014000002294778824,"[{'Item1': 327, 'Item2': 3}]",[23],[0.014000002294778824]
751,Ka Band,Sat1,Svalbard,23.504503852687776,23.512003853917122,0.0075000012293457985,[],[23],[0.0075000012293457985]
760,Ka Band,Sat1,Svalbard,24.157503959722817,24.16550396103412,0.008000001311302185,[],[24],[0.008000001311302185]
763,Ka Band,Sat1,Svalbard,24.363003993406892,24.37700399570167,0.014000002294778824,"[{'Item1': 342, 'Item2': 3}]",[24],[0.014000002294778824]
764,Ka Band,Sat1,Svalbard,24.433504004962742,24.44050400611013,0.007000001147389412,[],[24],[0.007000001147389412]
765,Ka Band,Sat1,Svalbard,24.504004016518593,24.512004017829895,0.008000001311302185,[],[24],[0.008000001311302185]
774,Ka Band,Sat1,Svalbard,25.157004123553634,25.165004124864936,0.008000001311302185,[],[25],[0.008000001311302185]
775,Ka Band,Sat1,Svalbard,25.228504135273397,25.236004136502743,0.0075000012293457985,[],[25],[0.0075000012293457985]
776,Ka Band,Sat1,Svalbard,25.292504145763814,25.306504148058593,0.014000002294778824,"[{'Item1': 355, 'Item2': 3}]",[25],[0.014000002294778824]
779,Ka Band,Sat1,Svalbard,25.504004180431366,25.51150418166071,0.0075000012293457985,[],[25],[0.0075000012293457985]
780,Ka Band,Sat1,Svalbard,25.575004192069173,25.58250419329852,0.0075000012293457985,[],[25],[0.0075000012293457985]
788,Ka Band,Sat1,Svalbard,26.157004287466407,26.16500428877771,0.008000001311302185,[],[26],[0.008000001311302185]
791,Ka Band,Sat1,Svalbard,26.36250432115048,26.37650432344526,0.014000002294778824,"[{'Item1': 370, 'Item2': 3}]",[26],[0.014000002294778824]
792,Ka Band,Sat1,Svalbard,26.433004332706332,26.44000433385372,0.007000001147389412,[],[26],[0.007000001147389412]
793,Ka Band,Sat1,Svalbard,26.503504344262183,26.511504345573485,0.008000001311302185,[],[26],[0.008000001311302185]
801,Ka Band,Sat1,Svalbard,27.085504439659417,27.09350444097072,0.008000001311302185,[],[27],[0.008000001311302185]
803,Ka Band,Sat1,Svalbard,27.228004463016987,27.235504464246333,0.0075000012293457985,[],[27],[0.0075000012293457985]
804,Ka Band,Sat1,Svalbard,27.292004473507404,27.306004475802183,0.014000002294778824,"[{'Item1': 383, 'Item2': 3}]",[27],[0.014000002294778824]
807,Ka Band,Sat1,Svalbard,27.503504508174956,27.5110045094043,0.0075000012293457985,[],[27],[0.0075000012293457985]
808,Ka Band,Sat1,Svalbard,27.574504519812763,27.58200452104211,0.0075000012293457985,[],[27],[0.0075000012293457985]
816,Ka Band,Sat1,Svalbard,28.156504615209997,28.1645046165213,0.008000001311302185,[],[28],[0.008000001311302185]
819,Ka Band,Sat1,Svalbard,28.36200464889407,28.37600465118885,0.014000002294778824,"[{'Item1': 398, 'Item2': 3}]",[28],[0.014000002294778824]
820,Ka Band,Sat1,Svalbard,28.432504660449922,28.440004661679268,0.0075000012293457985,[],[28],[0.0075000012293457985]
831,Ka Band,Sat1,Svalbard,29.227504790760577,29.235004791989923,0.0075000012293457985,[],[29],[0.0075000012293457985]
832,Ka Band,Sat1,Svalbard,29.291504801250994,29.305504803545773,0.014000002294778824,"[{'Item1': 411, 'Item2': 3}]",[29],[0.014000002294778824]
835,Ka Band,Sat1,Svalbard,29.503004835918546,29.51050483714789,0.0075000012293457985,[],[29],[0.0075000012293457985]
426,Ka Band,Sat1,Svalbard,0.3045000499114394,0.3125000512227416,0.008000001311302185,[],[0],[0.008000001311302185]
428,Ka Band,Sat1,Svalbard,0.44050007220357656,0.454000074416399,0.013500002212822437,"[{'Item1': 7, 'Item2': 3}]",[0],[0.013500002212822437]
439,Ka Band,Sat1,Svalbard,1.2335002021864057,1.2410002034157515,0.0075000012293457985,[],[1],[0.0075000012293457985]
